applicationId,applicationReferenceNumber,applicationStatus,dateReceived,dateValidated,decisionDate,proposalText,siteAddress
702952,LA03/2025/0695/O,Valid,2025-09-23T21:44:00,2025-09-24T00:00:00,,"Site for dwelling and garage on a farm (Renewal of previous approval LA03/2022/0692/O)
","Approx 30m south east of 4 Creggan Road, Randalstown
"
702936,LA03/2025/0696/DC,Valid,2025-09-24T00:00:00,2025-09-24T00:00:00,,"Demolition of 6 Station Road and extension of retail unit and associated car parking, EV charging and landscaping, and relocation of bulk fuel (Discharge of Condition 11 from PAC approval 2024/A0125 (LA03/2023/0959/F) regarding waste water treatment works)","Eurospar Supermaket 8 Station Road, Doagh, Ballyclare, BT39 0QT"
702905,LA03/2025/0691/F,Valid,2025-09-23T06:43:00,2025-09-23T00:00:00,,"CONSTRUCTION OF A 3M HIGH GREEN TIMBER + BLACK ALUMINIUM PERFORATED FENCE WITHIN THE GARDEN TO THE FRONT, SIDE + REAR OF THE EXISTING DWELLING","35 Ballyclare Road, Ballyclare, BT39 0BL"
702911,LA03/2025/0648/F,Valid,2025-09-05T15:04:00,2025-09-22T00:00:00,,"Proposed residential development comprising 7 dwellings, parking, access, amenity space, landscaping and ancillary site works","Lands to the rear of Nos. 32, 34 and 36 Ypres Park, Newtownabbey, BT37 0BP"
702835,LA03/2025/0688/F,Valid,2025-09-22T10:49:00,2025-09-22T00:00:00,,Proposed side and rear extensions and alterations to dwelling. Change of curtilage to include relocation of the existing public road access.,"30 Junction Road, Antrim, BT41 2NJ"
702833,LA03/2025/0690/F,Valid,2025-09-22T16:54:00,2025-09-22T00:00:00,,Extensions and alteration to dwelling to include formation of new driveway access from main road,"6 Alexandra Terrace, Crumlin, BT29 4EZ"
702829,LA03/2025/0684/F,Valid,2025-09-19T08:33:00,2025-09-22T00:00:00,,Proposed erection of 2no. Modular Teaching Units to be located at rear of existing school site,"Earlview Primary School, 2 Manse Drive, Newtownabbey, BT36 5US"
702846,LA03/2025/0671/F,Valid,2025-09-15T20:44:00,2025-09-21T00:00:00,,Replacement of defective main entrance door and rear door with like-for-like timber replicas.,"Old Forge, 8 John Street, Randalstown, Antrim, BT41 3AD"
702832,LA03/2025/0685/O,Consultation Open,2025-09-19T18:55:00,2025-09-19T00:00:00,,Dwelling,"Approx 25m East of 122 Hydepark Road, Newtownabbey, BT36 4PZ"
702825,LA03/2025/0680/LBC,Consultation Open,2025-09-18T14:56:00,2025-09-18T00:00:00,,Repairs to existing raised light-well and surrounding flat roof area,"Northern Ireland Housing Executive, Rantalard House, Rathcoole Drive, Newtownabbey, BT37 9BL"
702834,LA03/2025/0677/A,Valid,2025-09-17T14:35:00,2025-09-17T00:00:00,,"3 no signs (2 Fascia, 1 Totem)","John Mulholland Motors, 211a Castle Road, Antrim, BT41 2EB"
702821,LA03/2025/0676/F,Valid,2025-09-17T13:39:00,2025-09-17T00:00:00,,Extension and alterations to dwelling,"32 Tardree Road, Ballymena, BT42 3PE"
702820,LA03/2025/0674/F,Valid,2025-09-16T13:10:00,2025-09-17T00:00:00,,Proposed dwelling (Change of house type from approval LA03/2021/0822/F),"Site 5 of Kingsfort Mews, Ballyrobert (5m south of Site 4 Kingsfort Mews, 35m west of 56 Ballyrobert Road and 20m east of 62 Forthaven) "
